2018/12/21 14:54:48 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/0cd1b79917c64091967e7e454cb04867/teacher/7a90e6a409214821ad12da9685c3e69f/photo/7a90e6a409214821ad12da9685c3e69f.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/0cd1b79917c64091967e7e454cb04867/teacher/7a90e6a409214821ad12da9685c3e69f/photo/7a90e6a409214821ad12da9685c3e69f.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/16874b691e3f4a4ca779886169888030/photo/16874b691e3f4a4ca779886169888030.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/16874b691e3f4a4ca779886169888030/photo/16874b691e3f4a4ca779886169888030.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/7ff2ded291104e2893d4a93fb5557002/photo/7ff2ded291104e2893d4a93fb5557002.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/7ff2ded291104e2893d4a93fb5557002/photo/7ff2ded291104e2893d4a93fb5557002.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/fc6be8d21077416ea3e8994f6a545c8f/photo/fc6be8d21077416ea3e8994f6a545c8f.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/fc6be8d21077416ea3e8994f6a545c8f/photo/fc6be8d21077416ea3e8994f6a545c8f.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/0af7f697503c4245b3b8e3ee1707c1f9/teacher/7d29311028af4ade80c85aaf3067143c/photo/7d29311028af4ade80c85aaf3067143c.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/0af7f697503c4245b3b8e3ee1707c1f9/teacher/7d29311028af4ade80c85aaf3067143c/photo/7d29311028af4ade80c85aaf3067143c.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/1edc0f5c8a5c4bcea3ccaf0b79fc951a/photo/1edc0f5c8a5c4bcea3ccaf0b79fc951a.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/1edc0f5c8a5c4bcea3ccaf0b79fc951a/photo/1edc0f5c8a5c4bcea3ccaf0b79fc951a.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/422d260c3247477eaf25f694ecf5daab/photo/422d260c3247477eaf25f694ecf5daab.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/422d260c3247477eaf25f694ecf5daab/photo/422d260c3247477eaf25f694ecf5daab.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/ae2ce049a8b54cfe8c1f6ec8c35132fd/teacher/a4fc018eb3a94d84a025ef5151d0a856/photo/a4fc018eb3a94d84a025ef5151d0a856.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/ae2ce049a8b54cfe8c1f6ec8c35132fd/teacher/a4fc018eb3a94d84a025ef5151d0a856/photo/a4fc018eb3a94d84a025ef5151d0a856.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/795fac7e28ac4665a3f115feb71bc95a/photo/795fac7e28ac4665a3f115feb71bc95a.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/795fac7e28ac4665a3f115feb71bc95a/photo/795fac7e28ac4665a3f115feb71bc95a.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/0af7f697503c4245b3b8e3ee1707c1f9/teacher/345b25b6032c4eb58c5ff6a0513e8660/photo/345b25b6032c4eb58c5ff6a0513e8660.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/0af7f697503c4245b3b8e3ee1707c1f9/teacher/345b25b6032c4eb58c5ff6a0513e8660/photo/345b25b6032c4eb58c5ff6a0513e8660.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/0cd1b79917c64091967e7e454cb04867/teacher/5d87b74132b945a288e76efc0ecd276a/photo/5d87b74132b945a288e76efc0ecd276a.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/0cd1b79917c64091967e7e454cb04867/teacher/5d87b74132b945a288e76efc0ecd276a/photo/5d87b74132b945a288e76efc0ecd276a.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/ce7c9ece86db4260afb00cfca0edf08c/photo/ce7c9ece86db4260afb00cfca0edf08c.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/ce7c9ece86db4260afb00cfca0edf08c/photo/ce7c9ece86db4260afb00cfca0edf08c.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *7 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/12434b28acbc49b1ac4b27e0900ac9ae/photo/12434b28acbc49b1ac4b27e0900ac9ae.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/12434b28acbc49b1ac4b27e0900ac9ae/photo/12434b28acbc49b1ac4b27e0900ac9ae.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/cdf64019e44e483b8d3d08b34bc9d672/teacher/abe61a85511b499e9585700267dbbecf/photo/abe61a85511b499e9585700267dbbecf.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/cdf64019e44e483b8d3d08b34bc9d672/teacher/abe61a85511b499e9585700267dbbecf/photo/abe61a85511b499e9585700267dbbecf.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
